Abbotswood | Potentilla fruticosa 'Abbotswood' | Shrub | Potentilla
Rocket Snapdragon | Antirrhinum 'Rocket' | Annual | Snapdragons
Rockin' Raspberry | Monarda 'Rockin' Raspberry' | Perennial | Bee Balm
Rocky Mountain Blue | Aquilegia caerulea | Perennial | Columbine
Rosa 'Fantin-Latour' | Rosa 'Fantin-Latour' | Rose | 
Rosa 'Felicia' | Rosa 'Felicia' | Rose | 
Rosa 'Fragrant Cloud' | Rosa 'Fragrant Cloud' | Rose | 
Rosa 'Frau Karl Druschki' | Rosa 'Frau Karl Druschki' | Rose | 
Rosa 'Ispahan' | Rosa 'Ispahan' | Rose | 
Rosa 'Madame Hardy' | Rosa 'Madame Hardy' | Rose | 
Rosa 'Trigintipetala' | Rosa damascena 'Trigintipetala' | Rose | 
Rosa damascena (Damask Rose) | Rosa damascena | Rose | 
Rosa de Meaux (Centifolia Rose) | Rosa × centifolia 'De Meaux' | Rose | 
Rosa de Rescht (Damask Rose) | Rosa 'De Rescht' | Rose | 
Rose Chiffon | Eschscholzia californica 'Rose Chiffon' | Annual | California Poppy
Rose Impatiens | Impatiens walleriana | Annual | Impatiens
Rose Larkspur | Consolida ajacis | Annual | Larkspur
Rose Lisianthus | Eustoma grandiflorum | Annual | Lisianthus
Rose Lobelia | Lobelia erinus | Annual | Lobelia
Rose Marvel | Salvia nemorosa 'Rose Marvel' | Perennial | Salvia
Rose of Sharon | Hibiscus syriacus | Shrub | Rose of Sharon
Rose Pansy | Viola wittrockiana 'Rose' | Annual | Pansies & Violas
Rose Queen | Cleome hassleriana 'Rose Queen' | Annual | Cleome
Rose Snapdragon | Antirrhinum 'Rose' | Annual | Snapdragons
Rose Stock | Matthiola incana | Annual | Stock
Rose Vinca | Catharanthus roseus | Annual | Vinca
Rosebud | Rhododendron 'Rosebud' | Shrub | Azaleas
Roselle (Rosa de Jamaica) | Hibiscus sabdariffa | Annual | 
Rosemary | Salvia rosmarinus | Herb | 
Roseum Elegans | Rhododendron 'Roseum Elegans' | Shrub | Rhododendrons
Rosie O'Day | Lobularia maritima 'Rosie O'Day' | Annual | Sweet Alyssum
Rouge Cardinal | Clematis 'Rouge Cardinal' | Climber | Clematis
Route 66 | Coreopsis 'Route 66' | Perennial | Coreopsis
Royal Blue Sweet Pea | Lathyrus odoratus | Annual | Sweet Pea
Royal Candles | Veronica spicata 'Royal Candles' | Perennial | Veronica
Royal Carpet | Lobularia maritima 'Royal Carpet' | Annual | Sweet Alyssum
Royal Crimson Sweet Pea | Lathyrus odoratus | Annual | Sweet Pea
Royal Fern | Osmunda regalis | Fern | 
Royal Purple | Cotinus coggygria 'Royal Purple' | Shrub | Smokebush
Royal Raindrops | Malus 'Royal Raindrops' | Tree | Crabapple
Royal Red | Buddleia davidii 'Royal Red' | Shrub | Butterfly Bush
Royal Star Magnolia | Magnolia stellata 'Royal Star' | Tree | Magnolia
Royal Velvet | Lavandula angustifolia 'Royal Velvet' | Herb | Lavender
Royal White Redbud | Cercis canadensis f. alba 'Royal White' | Tree | Redbud
Royal White Sweet Pea | Lathyrus odoratus | Annual | Sweet Pea
Rozanne | Geranium 'Rozanne' | Perennial | Hardy Geranium
Rubenza | Cosmos bipinnatus 'Rubenza' | Annual | Cosmos
Ruby Falls | Cercis canadensis 'Ruby Falls' | Tree | Redbud
Ruby Giant | Crocus tommasinianus 'Ruby Giant' | Bulb | Crocus
Ruby Spice | Clethra alnifolia 'Ruby Spice' | Shrub | Summersweet
Ruby Stella | Hemerocallis 'Ruby Stella' | Perennial | Daylilies
Rugosa Rose | Rosa rugosa | Rose | Shrub & Landscape Roses
Russian Sage | Salvia yangii | Perennial | 
Rust Mum | Chrysanthemum 'Rust' | Perennial | Chrysanthemums
S. Arnott | Galanthus 'S. Arnott' | Bulb | Snowdrop
Sage | Salvia officinalis | Herb | 
Sally Holmes | Rosa 'Sally Holmes' | Rose | 
Salmon Geranium | Pelargonium 'Salmon' | Annual | Geraniums
Salmon Impatiens | Impatiens walleriana | Annual | Impatiens
Salmon Nasturtium | Tropaeolum majus | Annual | Nasturtium
Salmon Petunia | Petunia 'Salmon' | Annual | Petunias
Salmon Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
Salome | Narcissus 'Salome' | Bulb | Daffodils
Salvia (Annual) | Salvia splendens | Annual | 
Sarah Bernhardt | Paeonia 'Sarah Bernhardt' | Perennial | Peonies
Satomi Kousa | Cornus kousa 'Satomi' | Tree | Dogwood
Saucer Magnolia | Magnolia × soulangeana | Tree | Magnolia
Saucy Seduction | Achillea millefolium 'Saucy Seduction' | Perennial | Yarrow
Scarlet Fire | Rosa 'Scarlet Fire' | Rose | 
Scarlet Flame | Phlox subulata 'Scarlet Flame' | Perennial | Creeping Phlox
Scarlet Impatiens | Impatiens walleriana | Annual | Impatiens
Scarlet Verbena | Verbena 'Lanai Scarlet' | Annual | Verbena
Scarlett O'Hara | Ipomoea nil | Climber | Morning Glory
Scentsation Honeysuckle | Lonicera periclymenum 'Scentsation' | Climber | Honeysuckle
Scintillation | Rhododendron 'Scintillation' | Shrub | Rhododendrons
Screaming Yellow | Baptisia sphaerocarpa 'Screaming Yellow' | Perennial | False Indigo
Sea Green Juniper | Juniperus chinensis 'Sea Green' | Conifer | Juniper
Sea Holly | Eryngium | Perennial | 
Sea Shells | Cosmos bipinnatus 'Sea Shells' | Annual | Cosmos
Sea Thrift | Armeria maritima | Perennial | 
Sedona Sunset | Coleus 'Sedona Sunset' | Annual | Coleus
Sensation | Syringa vulgaris 'Sensation' | Shrub | Lilac
Sensation Pink | Cosmos bipinnatus 'Sensation Pink' | Annual | Cosmos
Sensation Rose | Salvia nemorosa 'Sensation Rose' | Perennial | Salvia
Sentimental Blue | Platycodon grandiflorus 'Sentimental Blue' | Perennial | Balloon Flower
Serena Blue | Angelonia 'Serena Blue' | Annual | Angelonia
Serena Purple | Angelonia 'Serena Purple' | Annual | Angelonia
Serena Rose | Angelonia 'Serena Rose' | Annual | Angelonia
Serena White | Angelonia 'Serena White' | Annual | Angelonia
Serviceberry | Amelanchier | Tree | Serviceberry
Setsugekka | Camellia sasanqua 'Setsugekka' | Shrub | Camellia
Shasta Daisy | Leucanthemum | Perennial | Shasta Daisy
Shawnee Brave | Taxodium distichum 'Shawnee Brave' | Conifer | Bald Cypress
Sheffield Pink | Chrysanthemum 'Sheffield Pink' | Perennial | Chrysanthemums
Shenandoah | Panicum virgatum 'Shenandoah' | Grass | Switchgrass
Shirley Temple | Paeonia 'Shirley Temple' | Perennial | Peonies
Show Off | Forsythia × intermedia 'Show Off' | Shrub | Forsythia
Showy Crocus | Colchicum speciosum | Bulb | Autumn Crocus
Shropshire Lad Rose | Rosa 'Shropshire Lad' | Rose | 
Shrub Rose | Rosa | Rose | Shrub & Landscape Roses
Siberian Iris | Iris sibirica | Perennial | Irises
Siberian Squill | Scilla siberica | Bulb | Scilla
Sienna Sunset | Coreopsis 'Sienna Sunset' | Perennial | Coreopsis
Silver Bells | Ornithogalum nutans | Bulb | Star of Bethlehem
Silver Scrolls | Heuchera 'Silver Scrolls' | Perennial | Coral Bells
Sioux | Lagerstroemia 'Sioux' | Shrub | Crape Myrtle
Sir Winston Churchill | Narcissus 'Sir Winston Churchill' | Bulb | Daffodils
Six Hills Giant | Nepeta 'Six Hills Giant' | Perennial | Catmint
Sixteen Candles | Clethra alnifolia 'Sixteen Candles' | Shrub | Summersweet
Sky Blue Lobelia | Lobelia erinus | Annual | Lobelia
Skyrocket Juniper | Juniperus scopulorum 'Skyrocket' | Conifer | Juniper
Smokebush | Cotinus coggygria | Shrub | Smokebush
Smooth Hydrangea | Hydrangea arborescens | Shrub | Hydrangeas
Snapdragon | Antirrhinum | Annual | Snapdragons
Sneezeweed | Helenium | Perennial | 
Snow Bunting | Crocus chrysanthus 'Snow Bunting' | Bulb | Crocus
Snow Candles | Veronica 'Snow Candles' | Perennial | Veronica
Snow Flurry | Symphyotrichum ericoides 'Snow Flurry' | Perennial | Aster
Snow Fountains | Prunus 'Snofozam' | Tree | Flowering Cherry
Snow Hill | Salvia × sylvestris 'Schneehügel' | Perennial | Salvia
Snow Lady | Leucanthemum × superbum 'Snow Lady' | Perennial | Shasta Daisy
Snow Princess | Lobularia 'Snow Princess' | Annual | Sweet Alyssum
Snow White | Monarda 'Schneewittchen' | Perennial | Bee Balm
Snow White Sensation | Philadelphus 'Snow White Sensation' | Shrub | Mock Orange
Snow-in-Summer | Cerastium tomentosum | Perennial | 
Snowball | Agapanthus 'Snowball' | Bulb | Agapanthus
Snowbelle | Philadelphus 'Snowbelle' | Shrub | Mock Orange
Snowcap | Leucanthemum × superbum 'Snowcap' | Perennial | Shasta Daisy
Snowdrift | Malus 'Snowdrift' | Tree | Crabapple
Snowdrop | Galanthus | Bulb | Snowdrop
Snowflake | Nepeta racemosa 'Snowflake' | Perennial | Catmint
Snowflake | Phlox subulata 'Snowflake' | Perennial | Creeping Phlox
Snowflake | Leucojum | Bulb | Snowflake
Snowmound | Spiraea nipponica 'Snowmound' | Shrub | Spirea
Solfatare | Crocosmia × crocosmiiflora 'Solfatare' | Bulb | Crocosmia
Solomon's Seal | Polygonatum | Perennial | 
Sombrero Adobe Orange | Echinacea 'Sombrero Adobe Orange' | Perennial | Coneflowers
Sombrero Hot Coral | Echinacea 'Sombrero Hot Coral' | Perennial | Coneflowers
Sombrero Lemon Yellow | Echinacea 'Sombrero Lemon Yellow' | Perennial | Coneflowers
Sombrero Salsa Red | Echinacea 'Sombrero Salsa Red' | Perennial | Coneflowers
Sonic Bloom Pink | Weigela 'Sonic Bloom Pink' | Shrub | Weigela
Sonic Bloom Red | Weigela 'Sonic Bloom Red' | Shrub | Weigela
Soraya | Helianthus annuus 'Soraya' | Annual | Sunflower
Sorbet Viola | Viola cornuta 'Sorbet' | Annual | Pansies & Violas
Southern Magnolia | Magnolia grandiflora | Tree | Magnolia
Spanish Lavender | Lavandula stoechas | Herb | Lavender
Spartan Juniper | Juniperus chinensis 'Spartan' | Conifer | Juniper
Spiderwort | Tradescantia | Perennial | 
Spilled Wine | Weigela florida 'Spilled Wine' | Shrub | Weigela
Spirea | Spiraea | Shrub | Spirea
Splendid Cornelia | Hyacinthus 'Splendid Cornelia' | Bulb | Hyacinth
Spring Beauty | Scilla siberica 'Spring Beauty' | Bulb | Scilla
Spring Green | Tulipa 'Spring Green' | Bulb | Tulips
Spring Snowflake | Leucojum vernum | Bulb | Snowflake
Sprite | Astilbe simplicifolia 'Sprite' | Perennial | Astilbe
Stafford Daylily | Hemerocallis 'Stafford' | Perennial | 
Stanwell Perpetual | Rosa 'Stanwell Perpetual' | Rose | 
Star Jasmine | Trachelospermum jasminoides | Climber | Jasmine
Star Magnolia | Magnolia stellata | Tree | Magnolia
Star of Bethlehem | Ornithogalum | Bulb | Star of Bethlehem
Star of Persia | Allium cristophii | Bulb | Allium
Star of the East | Crocosmia 'Star of the East' | Bulb | Crocosmia
Star Petunia | Petunia 'Star' | Annual | Petunias
Starfire | Phlox paniculata 'Starfire' | Perennial | Garden Phlox
Statice | Limonium | Annual | Statice
Stella de Oro | Hemerocallis 'Stella de Oro' | Perennial | Daylilies
Stellar Pink | Cornus × rutgersensis 'Stellar Pink' | Tree | Dogwood
Stewartstonian | Rhododendron 'Stewartstonian' | Shrub | Azaleas
Stock | Matthiola | Annual | Stock
Storm Cloud | Agapanthus 'Storm Cloud' | Bulb | Agapanthus
Strawberry Blonde | Helianthus annuus 'Strawberry Blonde' | Annual | Sunflower
Strawberry Candy | Hemerocallis 'Strawberry Candy' | Perennial | Daylilies
Strawberry Fields | Gomphrena haageana 'Strawberry Fields' | Annual | Globe Amaranth
Strawberry Hill | Rosa 'Ausrimini' | Rose | Climbing Roses
Strawflower | Xerochrysum | Annual | Strawflower
Sugar Maple | Acer saccharum | Tree | 
Sugar Tyme | Malus 'Sugar Tyme' | Tree | Crabapple
Sugartina Crystalina | Clethra alnifolia 'Crystalina' | Shrub | Summersweet
Sum and Substance | Hosta 'Sum and Substance' | Perennial | Hostas
Summer Skies | Delphinium 'Summer Skies' | Perennial | Delphinium
Summer Snowflake | Leucojum aestivum | Bulb | Snowflake
Summer Storm | Hibiscus 'Summer Storm' | Perennial | Hardy Hibiscus
Summer Wine | Physocarpus opulifolius 'Seward' | Shrub | Ninebark
Summersweet | Clethra alnifolia | Shrub | Summersweet
Sun Parasol Apricot | Mandevilla 'Sun Parasol Apricot' | Climber | Mandevilla
Sun Parasol Crimson | Mandevilla 'Sun Parasol Crimson' | Climber | Mandevilla
Sun Parasol Sunbeam | Mandevilla 'Sun Parasol Sunbeam' | Climber | Mandevilla
Sun Parasol White | Mandevilla 'Sun Parasol White' | Climber | Mandevilla
Sunflower | Helianthus annuus | Annual | Sunflower
Sunny Border Blue | Veronica 'Sunny Border Blue' | Perennial | Veronica
Sunny Seduction | Achillea 'Sunny Seduction' | Perennial | Yarrow
SunPatiens Coral | Impatiens 'SunPatiens' | Annual | Impatiens
Sunrise Agastache | Agastache 'Sunrise' | Perennial | 
Sunrise Serenade | Ipomoea purpurea 'Sunrise Serenade' | Climber | Morning Glory
Sunset Hyssop | Agastache 'Sunset' | Perennial | 
Superbells Blackcurrant Punch | Calibrachoa 'Superbells Blackcurrant Punch' | Annual | Calibrachoa
Superbells Blue | Calibrachoa 'Superbells Blue' | Annual | Calibrachoa
Superbells Cherry Star | Calibrachoa 'Superbells Cherry Star' | Annual | Calibrachoa
Superbells Coralina | Calibrachoa 'Superbells Coralina' | Annual | Calibrachoa
Superbells Grape Punch | Calibrachoa 'Superbells Grape Punch' | Annual | Calibrachoa
Superbells Lemon Slice | Calibrachoa 'Superbells Lemon Slice' | Annual | Calibrachoa
Superbells Pink | Calibrachoa 'Superbells Pink' | Annual | Calibrachoa
Superbells Red | Calibrachoa 'Superbells Red' | Annual | Calibrachoa
Superbells Tangerine Punch | Calibrachoa 'Superbells Tangerine Punch' | Annual | Calibrachoa
Superbells White | Calibrachoa 'Superbells White' | Annual | Calibrachoa
Superbells Yellow | Calibrachoa 'Superbells Yellow' | Annual | Calibrachoa
Supertunia Vista Bubblegum | Petunia 'Supertunia Vista Bubblegum' | Annual | Petunias
Susan Williams-Ellis | Rosa 'Ausquirk' | Rose | English (David Austin) Roses
Sutton's Apricot | Digitalis purpurea 'Sutton's Apricot' | Perennial | Foxglove
Swane's Gold | Cupressus sempervirens 'Swane's Gold' | Conifer | Italian Cypress
Sweet Alyssum | Lobularia maritima | Annual | Sweet Alyssum
Sweet Autumn Clematis | Clematis terniflora | Climber | Clematis
Sweet Caroline Bronze | Ipomoea batatas 'Sweet Caroline Bronze' | Annual | Sweet Potato Vine
Sweet Pea | Lathyrus odoratus | Annual | Sweet Pea
Sweet Potato Vine | Ipomoea batatas | Annual | Sweet Potato Vine
Sweet William | Dianthus barbatus | Perennial | 
Sweet Woodruff | Galium odoratum | Perennial | 
Sweetbay Magnolia | Magnolia virginiana | Tree | Magnolia
Swingtime | Fuchsia 'Swingtime' | Annual | Fuchsia
Switchgrass | Panicum virgatum | Grass | Switchgrass
Sylphide | Anemone coronaria 'Sylphide' | Bulb | Anemone
Sylvia | Dahlia 'Sylvia' | Bulb | Dahlias
Tahiti | Narcissus 'Tahiti' | Bulb | Daffodils
Tamukeyama | Acer palmatum var. dissectum 'Tamukeyama' | Tree | Japanese Maple
Tangelo | Gladiolus 'Tangelo' | Bulb | Gladiolus
Tangerine | Potentilla fruticosa 'Tangerine' | Shrub | Potentilla
Tangerine Gem | Tagetes tenuifolia 'Tangerine Gem' | Annual | Marigolds
Teasing Georgia | Rosa 'Ausbaker' | Rose | Climbing Roses
Techny | Thuja occidentalis 'Techny' | Conifer | Arborvitae
Teddy Bear | Helianthus annuus 'Teddy Bear' | Annual | Sunflower
Terracotta | Achillea 'Terracotta' | Perennial | Yarrow
Tess of the d'Urbervilles | Rosa 'Ausmove' | Rose | English (David Austin) Roses
Thalia | Narcissus 'Thalia' | Bulb | Daffodils
The Bride | Anemone coronaria 'The Bride' | Bulb | Anemone
The Chatelaine | Lupinus 'The Chatelaine' | Perennial | Lupine
The Fairy | Rosa 'The Fairy' | Rose | Shrub & Landscape Roses
The Generous Gardener | Rosa 'Ausdrawn' | Rose | Climbing Roses
The Giant | Colchicum 'The Giant' | Bulb | Autumn Crocus
The Governor | Lupinus 'The Governor' | Perennial | Lupine
The Governor | Anemone coronaria 'The Governor' | Bulb | Anemone
The Lady Gardener | Rosa 'Ausbrass' | Rose | English (David Austin) Roses
The Pages | Lupinus 'The Pages' | Perennial | Lupine
The Pilgrim | Rosa 'Auswalker' | Rose | English (David Austin) Roses
The Poet's Wife | Rosa 'Auswhirl' | Rose | English (David Austin) Roses
The President | Clematis 'The President' | Climber | Clematis
The Rising Sun | Cercis canadensis 'The Rising Sun' | Tree | Redbud
Thomas Edison | Dahlia 'Thomas Edison' | Bulb | Dahlias
Thunderhead | Hylotelephium 'Thunderhead' | Perennial | Sedum
Thyme | Thymus | Herb | 
Tiger Lily | Lilium lancifolium | Bulb | Lilies
Tiger Stripe Gazania | Gazania 'New Day Tiger' | Annual | Gazania
Tiny Rubies | Dianthus gratianopolitanus 'Tiny Rubies' | Perennial | Dianthus
Tiny Tower | Cupressus sempervirens 'Tiny Tower' | Conifer | Italian Cypress
Tiny Wine | Physocarpus opulifolius 'SMNPOTW' | Shrub | Ninebark
Toad Lily | Tricyrtis | Perennial | 
Tomato Soup | Echinacea 'Tomato Soup' | Perennial | Coneflowers
Toto Gold | Rudbeckia hirta 'Toto Gold' | Perennial | Black-Eyed Susan
Tranquillity | Rosa 'Ausnoble' | Rose | English (David Austin) Roses
Tricolor | Crocus sieberi 'Tricolor' | Bulb | Crocus
Tricolor | Ipomoea batatas 'Tricolor' | Annual | Sweet Potato Vine
Trillium | Trillium | Perennial | 
Tropical Hibiscus | Hibiscus rosa-sinensis | Shrub | Tropical Hibiscus
Tropicanna | Canna 'Phasion' | Bulb | Canna Lily
Tropicanna Gold | Canna 'Mactro' | Bulb | Canna Lily
Trumpet Lily | Lilium | Bulb | Lilies
Trumpet Vine | Campsis radicans | Climber | Trumpet Vine
Tuberous Apricot | Begonia × tuberhybrida | Annual | Begonia
Tuberous Begonia | Begonia × tuberhybrida | Annual | Tuberous Begonia
Tuberous Orange | Begonia × tuberhybrida | Annual | Begonia
Tuberous Red | Begonia × tuberhybrida | Annual | Begonia
Tuberous Yellow | Begonia × tuberhybrida | Annual | Begonia
Tulip | Tulipa | Bulb | Tulips
Tulip Tree | Liriodendron tulipifera | Tree | 
Turtlehead | Chelone | Perennial | 
Tuscarora | Lagerstroemia 'Tuscarora' | Shrub | Crape Myrtle
Twilight | Lagerstroemia 'Twilight' | Shrub | Crape Myrtle
Twilight Zone | Schizachyrium scoparium 'Twilight Zone' | Grass | Little Bluestem
Twister | Agapanthus 'Twister' | Bulb | Agapanthus
Tête-à-Tête | Narcissus 'Tête-à-Tête' | Bulb | Daffodils
Uproar Rose | Zinnia elegans 'Uproar Rose' | Annual | Zinnias
Valentine | Lamprocapnos spectabilis 'Valentine' | Perennial | Bleeding Heart
Valerie Finnis | Muscari armeniacum 'Valerie Finnis' | Bulb | Grape Hyacinth
Vanessa Bell | Rosa 'Auseasel' | Rose | English (David Austin) Roses
Vanilla Ice | Helianthus annuus 'Vanilla Ice' | Annual | Sunflower
Vanilla Spice | Clethra alnifolia 'Caleb' | Shrub | Summersweet
Variegata | Weigela florida 'Variegata' | Shrub | Weigela
Veitchii | Gardenia jasminoides 'Veitchii' | Shrub | Gardenia
Veitchii | Parthenocissus tricuspidata 'Veitchii' | Climber | Boston Ivy
Velvet Cloak | Cotinus coggygria 'Velvet Cloak' | Shrub | Smokebush
Velvet Queen | Helianthus annuus 'Velvet Queen' | Annual | Sunflower
Verbena | Verbena | Annual | Verbena
Vermillionaire Cuphea | Cuphea hybrid 'Vermillionaire' | Annual | Cuphea
Veronica | Veronica spicata | Perennial | Veronica
Viburnum | Viburnum | Shrub | Viburnum
Ville de Lyon | Clematis 'Ville de Lyon' | Climber | Clematis
Vinca | Catharanthus roseus | Annual | Vinca
Violet Beauty | Scilla 'Violet Beauty' | Bulb | Glory of the Snow
Violet Impatiens | Impatiens walleriana | Annual | Impatiens
Violet Pentas | Pentas lanceolata | Annual | Pentas
Violet Queen | Cleome hassleriana 'Violet Queen' | Annual | Cleome
Violet Riot | Salvia nemorosa 'Violet Riot' | Perennial | Salvia
Virginia Bluebells | Mertensia virginica | Perennial | 
Viridapice | Galanthus nivalis 'Viridapice' | Bulb | Snowdrop
Viridis | Acer palmatum var. dissectum 'Viridis' | Tree | Japanese Maple
Visions | Astilbe chinensis 'Visions' | Perennial | Astilbe
Voodoo Fuchsia | Fuchsia 'Voodoo' | Annual | Fuchsia
Walker's Low | Nepeta 'Walker's Low' | Perennial | Catmint
Wargrave Pink | Geranium × oxonianum 'Wargrave Pink' | Perennial | Hardy Geranium
Wasabi | Coleus 'Wasabi' | Annual | Coleus
Waterfall | Acer palmatum var. dissectum 'Waterfall' | Tree | Japanese Maple
Waterlily | Colchicum 'Waterlily' | Bulb | Autumn Crocus
Watermelon | Coleus 'Versa Watermelon' | Annual | Coleus
Wax Begonia Pink | Begonia semperflorens | Annual | Begonia
Wax Begonia Red | Begonia semperflorens | Annual | Begonia
Wax Begonia White | Begonia semperflorens | Annual | Begonia
Wedding Party | Helleborus × hybridus 'Wedding Party' | Perennial | Hellebore
Wedgwood Blue | Syringa vulgaris 'Wedgwood Blue' | Shrub | Lilac
Wedgwood Blue | Angelonia 'Wedgwood Blue' | Annual | Angelonia
Weeping Cherry | Prunus subhirtella 'Pendula' | Tree | Flowering Cherry
Weeping Hemlock | Tsuga canadensis 'Sargentii' | Conifer | Hemlock
Weeping Norway Spruce | Picea abies 'Pendula' | Conifer | Spruce
Weeping White Pine | Pinus strobus 'Pendula' | Conifer | Pine
Weeping Willow | Salix babylonica | Tree | 
Weigela | Weigela florida | Shrub | Weigela
White African Daisy | Osteospermum 'Akila White' | Annual | African Daisy
White Agapanthus | Agapanthus 'Albus' | Bulb | Agapanthus
White Ageratum | Ageratum houstonianum | Annual | Ageratum
White Allium | Allium karataviense | Bulb | 
White Annual Phlox | Phlox drummondii | Annual | Annual Phlox
White Bachelor's Button | Centaurea cyanus | Annual | Bachelor's Button
White Beautyberry | Callicarpa dichotoma f. albifructa | Shrub | Beautyberry
White Browallia | Browallia speciosa | Annual | Browallia
White Canterbury Bells | Campanula medium | Annual | Canterbury Bells
White Chiffon | Hibiscus syriacus 'White Chiffon' | Shrub | Rose of Sharon
White Christmas Caladium | Caladium 'White Christmas' | Annual | Caladium
White Columbine | Aquilegia | Perennial | Columbine
White Delight | Phlox subulata 'White Delight' | Perennial | Creeping Phlox
White Fan Flower | Scaevola aemula | Annual | Fan Flower
White Flame | Phlox paniculata 'White Flame' | Perennial | Garden Phlox
White Four O'Clock | Mirabilis jalapa | Annual | Four O'Clock
White Freesia | Freesia 'White' | Bulb | Freesia
White Gazania | Gazania rigens | Annual | Gazania
White Geranium | Pelargonium 'White' | Annual | Geraniums
White Gerbera | Gerbera jamesonii | Annual | Gerbera Daisy
White Globe Amaranth | Gomphrena globosa | Annual | Globe Amaranth
White Impatiens | Impatiens walleriana | Annual | Impatiens
White Knight | Weigela florida 'White Knight' | Shrub | Weigela
White Larkspur | Consolida ajacis | Annual | Larkspur
White Lights | Rhododendron 'White Lights' | Shrub | Azaleas
White Limelight Hydrangea | Hydrangea paniculata 'Limelight' | Shrub | 
White Lisianthus | Eustoma grandiflorum | Annual | Lisianthus
White Lobelia | Lobelia erinus | Annual | Lobelia
White Mexican Heather | Cuphea hyssopifolia | Annual | Cuphea
White Mum | Chrysanthemum 'White' | Perennial | Chrysanthemums
White Muscari | Muscari botryoides 'Album' | Bulb | Grape Hyacinth
White Ornamental Kale | Brassica oleracea | Annual | Ornamental Kale
White Pansy | Viola wittrockiana 'White' | Annual | Pansies & Violas
White Pentas | Pentas lanceolata | Annual | Pentas
White Petunia | Petunia 'White' | Annual | Petunias
White Pinks | Dianthus 'White' | Perennial | Dianthus
White Portulaca | Portulaca grandiflora | Annual | Portulaca
White Profusion | Buddleia davidii 'White Profusion' | Shrub | Butterfly Bush
White Prosperity | Gladiolus 'White Prosperity' | Bulb | Gladiolus
White Queen | Cleome hassleriana 'White Queen' | Annual | Cleome
White Ranunculus | Ranunculus asiaticus | Bulb | Ranunculus
White Snapdragon | Antirrhinum 'White' | Annual | Snapdragons
White Splendour | Anemone blanda 'White Splendour' | Bulb | Anemone
White Splendour | Anemone blanda 'White Splendour' | Bulb | Windflower
White Squill | Scilla siberica 'Alba' | Bulb | Scilla
White Statice | Limonium sinuatum | Annual | Statice
White Stock | Matthiola incana | Annual | Stock
White Strawflower | Xerochrysum bracteatum | Annual | Strawflower
White Swan | Echinacea purpurea 'White Swan' | Perennial | Coneflowers
White Triumphator | Tulipa 'White Triumphator' | Bulb | Tulips
White Tropical Hibiscus | Hibiscus rosa-sinensis | Shrub | Tropical Hibiscus
White Tuberous Begonia | Begonia × tuberhybrida | Annual | Tuberous Begonia
White Variegated Privet | Ligustrum sinense 'Variegatum' | Shrub | 
White Verbena | Verbena × hybrida | Annual | Verbena
White Vinca | Catharanthus roseus | Annual | Vinca
White Weigela | Weigela florida 'Alba' | Shrub | Weigela
White Wild Indigo | Baptisia alba | Perennial | False Indigo
White Wishbone Flower | Torenia fournieri | Annual | Wishbone Flower
White Wisteria (Alba) | Wisteria floribunda 'Alba' | Climber | Wisteria
White Yarrow | Achillea millefolium | Perennial | Yarrow
White Zinnia | Zinnia elegans 'White' | Annual | Zinnias
Wide Brim | Hosta 'Wide Brim' | Perennial | Hostas
Wild Ginger | Asarum | Perennial | 
Windflower | Anemone blanda | Bulb | Windflower
Wine & Roses | Weigela florida 'Wine & Roses' | Shrub | Weigela
Winecraft Black | Cotinus coggygria 'NCCO1' | Shrub | Smokebush
Winter Gem | Buxus microphylla 'Winter Gem' | Shrub | Boxwood
Winter Gold | Ilex verticillata 'Winter Gold' | Shrub | Winterberry
Winter Jasmine | Jasminum nudiflorum | Climber | Jasmine
Winter Red | Ilex verticillata 'Winter Red' | Shrub | Winterberry
Winterberry | Ilex verticillata | Shrub | Winterberry
Wishbone Flower | Torenia fournieri | Annual | Wishbone Flower
Wisteria | Wisteria | Climber | Wisteria
Witch Hazel | Hamamelis | Shrub | Witch Hazel
Wizard Velvet Red | Coleus 'Wizard Velvet Red' | Annual | Coleus
Wolf Eyes | Cornus kousa 'Wolf Eyes' | Tree | Dogwood
Wollerton Old Hall | Rosa 'Ausblanket' | Rose | Climbing Roses
Wood's Blue | Symphyotrichum dumosum 'Wood's Blue' | Perennial | Aster
Wood's Pink | Symphyotrichum dumosum 'Wood's Pink' | Perennial | Aster
Wood's Purple | Symphyotrichum dumosum 'Wood's Purple' | Perennial | Aster
Woodstock | Hyacinthus 'Woodstock' | Bulb | Hyacinth
Wyoming | Canna 'Wyoming' | Bulb | Canna Lily
Xanthos | Cosmos bipinnatus 'Xanthos' | Annual | Cosmos
Yaku Princess | Rhododendron 'Yaku Princess' | Shrub | Rhododendrons
Yankee Doodle | Syringa vulgaris 'Yankee Doodle' | Shrub | Lilac
Yarrow | Achillea | Perennial | Yarrow
Yellow Blotch Pansy | Viola wittrockiana 'Yellow Blotch' | Annual | Pansies & Violas
Yellow Calendula | Calendula officinalis | Annual | Calendula
Yellow California Poppy | Eschscholzia californica | Annual | California Poppy
Yellow Calla | Zantedeschia 'Yellow' | Bulb | Calla Lily
Yellow Four O'Clock | Mirabilis jalapa | Annual | Four O'Clock
Yellow Foxglove | Digitalis grandiflora | Perennial | Foxglove
Yellow Gazania | Gazania rigens | Annual | Gazania
