existing_plant,botanical,proposed_aliases,buckets,top_freq,n_aliases
Gumpo Pink,Rhododendron 'Gumpo Pink',gumpo azalea,cultivar-trade,med,1
George Tabor,Rhododendron 'George Tabor',george tabor azalea,cultivar-trade,med,1
Formosa,Rhododendron 'Formosa',formosa azalea,cultivar-trade,med,1
Delaware Valley White,Rhododendron 'Delaware Valley White',delaware valley white azalea,cultivar-trade,med,1
Snowmound,Spiraea nipponica 'Snowmound',snowmound spirea,cultivar-trade,med,1
Summer Wine,Physocarpus opulifolius 'Seward',summer wine ninebark,cultivar-trade,med,1
Amber Jubilee,Physocarpus opulifolius 'Jefam',amber jubilee ninebark,cultivar-trade,med,1
Little Devil,Physocarpus opulifolius 'Donna May',little devil ninebark,cultivar-trade,med,1
Tiny Wine,Physocarpus opulifolius 'SMNPOTW',tiny wine ninebark,cultivar-trade,med,1
Early Amethyst,Callicarpa dichotoma 'Early Amethyst',purple beautyberry,alt-common-name,med,1
Sensation,Syringa vulgaris 'Sensation',sensation lilac,cultivar-trade,med,1
Beauty of Moscow,Syringa vulgaris 'Krasavitsa Moskvy',beauty of moscow lilac,cultivar-trade,med,1
California Lilac,Ceanothus 'Concha',wild lilac,alt-common-name,med,1
White Wisteria (Alba),Wisteria floribunda 'Alba',japanese wisteria,alt-common-name,med,1
Pink Wisteria (Rosea),Wisteria floribunda 'Rosea',japanese wisteria,alt-common-name,med,1
Amethyst Falls Wisteria,Wisteria frutescens 'Amethyst Falls',american wisteria,alt-common-name,med,1
Blue Moon Wisteria,Wisteria macrostachya 'Blue Moon',kentucky wisteria,alt-common-name,med,1
Fenway Park,Parthenocissus tricuspidata 'Fenway Park',japanese creeper,alt-common-name,med,1
Veitchii,Parthenocissus tricuspidata 'Veitchii',japanese creeper,alt-common-name,med,1
Sun Parasol Crimson,Mandevilla 'Sun Parasol Crimson',sun parasol red,brand-series,med,1
Flaming Parrot,Tulipa 'Flaming Parrot',parrot tulips,plural-format,med,1
Black Parrot,Tulipa 'Black Parrot',parrot tulips,plural-format,med,1
Monte Carlo,Tulipa 'Monte Carlo',double tulip,alt-common-name,med,1
Apeldoorn,Tulipa 'Apeldoorn',darwin tulip,alt-common-name,med,1
Golden Apeldoorn,Tulipa 'Golden Apeldoorn',darwin tulip,alt-common-name,med,1
Pink Impression,Tulipa 'Pink Impression',darwin tulip,alt-common-name,med,1
Jeanne d'Arc,Crocus vernus 'Jeanne d'Arc',dutch crocus,alt-common-name,med,1
Pickwick,Crocus vernus 'Pickwick',dutch crocus,alt-common-name,med,1
Flower Record,Crocus vernus 'Flower Record',dutch crocus,alt-common-name,med,1
Remembrance,Crocus vernus 'Remembrance',dutch crocus,alt-common-name,med,1
Grand Maître,Crocus vernus 'Grand Maître',dutch crocus,alt-common-name,med,1
Gladiator,Allium 'Gladiator',alliums,plural-format,med,1
Millenium,Allium 'Millenium',millennium allium,misspelling,med,1
Thomas Edison,Dahlia 'Thomas Edison',dinnerplate dahlia,alt-common-name,med,1
Otto's Thrill,Dahlia 'Otto's Thrill',dinnerplate dahlia,alt-common-name,med,1
Pink Ranunculus,Ranunculus asiaticus,persian buttercup,alt-common-name,med,1
Yellow Ranunculus,Ranunculus asiaticus,persian buttercup,alt-common-name,med,1
Charmer,Anemone blanda 'Charmer',grecian windflower,alt-common-name,med,1
Radar,Anemone blanda 'Radar',grecian windflower,alt-common-name,med,1
Blue Shades,Anemone blanda 'Blue Shades',grecian windflower,alt-common-name,med,1
White Splendour,Anemone blanda 'White Splendour',grecian windflower,alt-common-name,med,1
Pink Star,Anemone blanda 'Pink Star',grecian windflower,alt-common-name,med,1
Picasso,Zantedeschia 'Picasso',arum lily,alt-common-name,med,1
Pink Calla,Zantedeschia rehmannii,arum lily,alt-common-name,med,1
Blue Giant,Scilla forbesii,chionodoxa,botanical-genus,med,1
Glory of the Snow,Scilla,chionodoxa,botanical-genus,med,1
Pink Giant,Scilla forbesii 'Pink Giant',chionodoxa,botanical-genus,med,1
Violet Beauty,Scilla 'Violet Beauty',chionodoxa,botanical-genus,med,1
Album,Colchicum autumnale 'Album',meadow saffron,alt-common-name,med,1
The Giant,Colchicum 'The Giant',meadow saffron,alt-common-name,med,1
Black Magic,Colocasia esculenta 'Black Magic',taro,alt-common-name,med,1
Illustris,Colocasia esculenta 'Illustris',taro,alt-common-name,med,1
Mojito,Colocasia esculenta 'Mojito',taro,alt-common-name,med,1
Pink China,Colocasia esculenta 'Pink China',taro,alt-common-name,med,1
Alocasia Polly,Alocasia × amazonica 'Polly',african mask plant,cultivar-trade,med,1
Wood's Pink,Symphyotrichum dumosum 'Wood's Pink',woods pink,plural-format,med,1
Summer Storm,Hibiscus 'Summer Storm',dinnerplate hibiscus,alt-common-name,med,1
Galahad,Delphinium 'Galahad',pacific giant delphinium,brand-series,med,1
Guinevere,Delphinium 'Guinevere',pacific giant delphinium,brand-series,med,1
Cat's Meow,Nepeta 'Cat's Meow',cats meow,plural-format,med,1
Brilliant,Dianthus deltoides 'Brilliant',maiden pinks,plural-format,med,1
Masterpiece,Lupinus 'Masterpiece',russell lupins,brand-series,med,1
Rocky Mountain Blue,Aquilegia caerulea,aquilega,misspelling,med,1
Pam's Choice,Digitalis purpurea 'Pam's Choice',pams choice,plural-format,med,1
Sutton's Apricot,Digitalis purpurea 'Sutton's Apricot',suttons apricot,plural-format,med,1
Obedient Plant,Physostegia,false dragonhead,alt-common-name,med,1
Lungwort,Pulmonaria,bethlehem sage,alt-common-name,med,1
Ligularia,Ligularia,leopard plant,alt-common-name,med,1
Pachysandra,Pachysandra terminalis,japanese spurge,alt-common-name,med,1
Don Juan,Rosa 'Don Juan',don juan rose,plural-format,med,1
Bonica,Rosa 'Meidomonac',bonica rose,plural-format,med,1
Norway Spruce,Picea abies,norwegian spruce,misspelling,med,1
Holmstrup,Thuja occidentalis 'Holmstrup',holmstrup arborvitae,cultivar-trade,med,1
Techny,Thuja occidentalis 'Techny',techny arborvitae,cultivar-trade,med,1
Golden Globe,Thuja occidentalis 'Golden Globe',golden globe arborvitae,cultivar-trade,med,1
Danica,Thuja occidentalis 'Danica',danica arborvitae,cultivar-trade,med,1
Juniper,Juniperus,junipers,plural-format,med,1
Sea Green Juniper,Juniperus chinensis 'Sea Green',chinese juniper,alt-common-name,med,1
Gold Coast Juniper,Juniperus chinensis 'Gold Coast',chinese juniper,alt-common-name,med,1
Grey Owl Juniper,Juniperus virginiana 'Grey Owl',gray owl juniper,regional,med,1
Gentsch White,Tsuga canadensis 'Gentsch White',gentsch white hemlock,cultivar-trade,med,1
Butterfly,Acer palmatum 'Butterfly',butterfly japanese maple,cultivar-trade,med,1
Alexandrina Magnolia,Magnolia × soulangeana 'Alexandrina',tulip magnolia,alt-common-name,med,1
Ann Magnolia,Magnolia 'Ann',little girl magnolia,brand-series,med,1
Jane Magnolia,Magnolia 'Jane',little girl magnolia,brand-series,med,1
Betty Magnolia,Magnolia 'Betty',little girl magnolia,brand-series,med,1
Heavy Metal,Panicum virgatum 'Heavy Metal',heavy metal switchgrass,plural-format,med,1
Shenandoah,Panicum virgatum 'Shenandoah',shenandoah switchgrass,plural-format,med,1
Northwind,Panicum virgatum 'Northwind',northwind switchgrass,plural-format,med,1
Pink Feather Pampas,Cortaderia selloana 'Rosea',pink pampas grass,plural-format,med,1
Dwarf Pampas (Pumila),Cortaderia selloana 'Pumila',dwarf pampas grass,plural-format,med,1
Edelweiss,Lavandula × intermedia 'Edelweiss',lavandin,alt-common-name,med,1
Violet Riot,Salvia nemorosa 'Violet Riot',color spires,brand-series,med,1
Berry Awesome,Hibiscus 'Berry Awesome',summerific,brand-series,med,1
Cranberry Crush,Hibiscus 'Cranberry Crush',summerific,brand-series,med,1
Cherry Choco Latte,Hibiscus 'Cherry Choco Latte',summerific,brand-series,med,1
Holy Grail,Hibiscus 'Holy Grail',summerific,brand-series,med,1
SunPatiens Coral,Impatiens 'SunPatiens',impatiens sunpatiens,brand-series,med,1
Italian White,Helianthus annuus 'Italian White',sun flower,plural-format,med,1
Lemon Queen,Helianthus annuus 'Lemon Queen',sun flower,plural-format,med,1
Nonstop Red Begonia,Begonia × tuberhybrida 'Nonstop Red',nonstop begonia,brand-series,med,1
Nonstop Rose,Begonia 'Nonstop Rose',nonstop begonia,brand-series,med,1
Orange Tuberous Begonia,Begonia × tuberhybrida,nonstop begonia,brand-series,med,1
Yellow Tuberous Begonia,Begonia × tuberhybrida,nonstop begonia,brand-series,med,1
Orange Coneflower,Echinacea 'Harvest Moon',cone flower,plural-format,med,1
Brunner 'Jack Frost',Brunnera macrophylla 'Jack Frost',brunnera jack frost,cultivar-trade,med,1
Goldenrod,Solidago,golden rod,plural-format,med,1
Globeflower,Trollius,globe flower,plural-format,med,1
Frostproof,Gardenia jasminoides 'Frostproof',frost proof gardenia,plural-format,med,1
Sonic Bloom Pink,Weigela 'Sonic Bloom Pink',sonic bloom weigela,brand-series,med,1
Sonic Bloom Red,Weigela 'Sonic Bloom Red',sonic bloom weigela,brand-series,med,1
Koreanspice,Viburnum carlesii,korean spice viburnum,alt-common-name; plural-format,med,1
California Flannelbush,Fremontodendron californicum,fremontia,alt-common-name,med,1
California Flannel Bush 'Ken Taylor',Fremontodendron 'Ken Taylor',fremontia,alt-common-name,med,1
California Flannel Bush 'Pacific Sunset',Fremontodendron 'Pacific Sunset',fremontia,alt-common-name,med,1
Jackmanii,Clematis 'Jackmanii',clematis jackmanii,cultivar-trade,med,1
Nelly Moser,Clematis 'Nelly Moser',clematis nelly moser,cultivar-trade,med,1
Blue Crown Passionflower,Passiflora caerulea,blue passion flower,alt-common-name,med,1
Cream Beauty,Crocus chrysanthus 'Cream Beauty',snow crocus,alt-common-name,med,1
Blue Pearl,Crocus chrysanthus 'Blue Pearl',snow crocus,alt-common-name,med,1
Snow Bunting,Crocus chrysanthus 'Snow Bunting',snow crocus,alt-common-name,med,1
Drumstick Allium,Allium sphaerocephalon,ornamental onion,alt-common-name,med,1
Floribunda Rose,Rosa,floribunda roses,plural-format,med,1
Lucifer,Crocosmia 'Lucifer',lucifer,cultivar-trade,med,1
Mount Everest,Allium stipitatum 'Mount Everest',mount everest,plural-format,med,1
Mt. Everest,Anemone coronaria 'Mt. Everest',mount everest,plural-format,med,1
Little Bluestem,Schizachyrium scoparium,beard grass; bluestem grass; prairie grass,alt-common-name; plural-format,low,3
Celosia,Celosia,celocia; celosa; cockscomb celosia,alt-common-name; misspelling,low,3
Sweet Autumn Clematis,Clematis terniflora,old man's beard; virgins bower,alt-common-name,low,2
Zebra Grass,Miscanthus sinensis 'Zebrinus',miscanthis; porcupine grass,cultivar-trade; misspelling,low,2
Wishbone Flower,Torenia fournieri,bluewings; clown flower,alt-common-name,low,2
Bright Lights,Cosmos sulphureus 'Bright Lights',klondike cosmos; sulfur cosmos,alt-common-name,low,2
Cosmic Red,Cosmos sulphureus 'Cosmic Red',klondike cosmos; sulfur cosmos,alt-common-name,low,2
Cosmic Yellow,Cosmos sulphureus 'Cosmic Yellow',klondike cosmos; sulfur cosmos,alt-common-name,low,2
Basket of Gold,Aurinia saxatilis,gold dust; golden alyssum,alt-common-name,low,2
California Fuchsia,Epilobium canum,hummingbird trumpet; zauschneria,alt-common-name; botanical-genus,low,2
False Sunflower,Heliopsis,ox eye sunflower; oxeye sunflower,alt-common-name,low,2
Mr. Goodbud,Hylotelephium 'Mr. Goodbud',mr goodbud; sedum mr goodbud,botanical-genus; plural-format,low,2
Rosa 'Felicia',Rosa 'Felicia',felicia hybrid musk; felicia rose,alt-common-name; plural-format,low,2
Rosa 'Frau Karl Druschki',Rosa 'Frau Karl Druschki',snow queen rose; white american beauty,alt-common-name,low,2
Swane's Gold,Cupressus sempervirens 'Swane's Gold',swanes gold cypress; swanes golden italian cypress,cultivar-trade; plural-format,low,2
Weeping White Pine,Pinus strobus 'Pendula',weeping eastern white pine; weeping white pine tree,alt-common-name; cultivar-trade,low,2
Blue Oat Grass,Helictotrichon sempervirens,avena grass; blue oatgrass,alt-common-name; plural-format,low,2
Chives,Allium schoenoprasum,chives plant; onion chives,alt-common-name; plural-format,low,2
Mullein,Verbascum,flannel plant; velvet plant,alt-common-name,low,2
Cockscomb Red,Celosia cristata 'Cockscomb Red',cocks comb; cockscomb celosia,alt-common-name; plural-format,low,2
Cockscomb Yellow,Celosia cristata 'Cockscomb Yellow',cocks comb; cockscomb celosia,alt-common-name; plural-format,low,2
Cockscomb Magenta,Celosia cristata 'Cockscomb Magenta',cocks comb; cockscomb celosia,alt-common-name; plural-format,low,2
Queen of the Prairie,Filipendula rubra,meadowsweet,alt-common-name,low,1
Catalina Midnight Blue,Torenia fournieri 'Catalina Midnight Blue',bluewings,alt-common-name,low,1
Apricot Sweet Alyssum,Lobularia 'Apricot',sweet alison,alt-common-name,low,1
Snow Princess,Lobularia 'Snow Princess',snow crystals,brand-series,low,1
Bidens,Bidens ferulifolia,beggarticks,alt-common-name,low,1
Pink Bidens,Bidens hybrid,beggarticks,alt-common-name,low,1
Flamingo Feather,Celosia spicata 'Flamingo Feather',wheat celosia,alt-common-name,low,1
Coral Fountain,Amaranthus caudatus 'Coral Fountain',tassel flower,alt-common-name,low,1
Emerald Tassels,Amaranthus caudatus 'Emerald Tassels',tassel flower,alt-common-name,low,1
Hot Biscuits,Amaranthus cruentus 'Hot Biscuits',prince's feather,alt-common-name,low,1
Blue Fortune Agastache,Agastache 'Blue Fortune',agastashe,misspelling,low,1
White Yarrow,Achillea millefolium,milfoil,alt-common-name,low,1
Carnation,Dianthus caryophyllus,clove pink,alt-common-name,low,1
Cyclamen,Cyclamen,sowbread,alt-common-name,low,1
Dead Nettle,Lamium maculatum,deadnettle,plural-format,low,1
English Daisy,Bellis perennis,lawn daisy,alt-common-name,low,1
Alma Pötschke,Symphyotrichum novae-angliae 'Alma Pötschke',alma potschke,plural-format,low,1
Blue Hill,Salvia × sylvestris 'Blauhügel',blauhugel,regional,low,1
Drummond's Pink,Phlox subulata 'Drummond's Pink',drummonds pink,plural-format,low,1
Hollyhock 'Chater's Double',Alcea rosea 'Chater's Double',chaters double,plural-format,low,1
Chater's Double Red,Alcea rosea 'Chater's Double Red',chaters double,plural-format,low,1
Happy Returns,Hemerocallis 'Happy Returns',reblooming daylily,alt-common-name,low,1
Golden Spirit,Cotinus coggygria 'Ancot',golden spirit smoke tree,cultivar-trade,low,1
Graham Blandy,Buxus sempervirens 'Graham Blandy',graham blandy boxwood,cultivar-trade,low,1
Diane,Hamamelis × intermedia 'Diane',diane witch hazel,cultivar-trade,low,1
Golden Mock Orange,Philadelphus coronarius 'Aureus',sweet mock orange,alt-common-name,low,1
Madame Galen,Campsis × tagliabuana 'Madame Galen',mme galen,cultivar-trade,low,1
Ballerina,Tulipa 'Ballerina',lily flowered tulip,alt-common-name,low,1
White Triumphator,Tulipa 'White Triumphator',lily flowered tulip,alt-common-name,low,1
Cheerfulness,Narcissus 'Cheerfulness',double daffodil,alt-common-name,low,1
Tahiti,Narcissus 'Tahiti',double daffodil,alt-common-name,low,1
Sir Winston Churchill,Narcissus 'Sir Winston Churchill',double daffodil,alt-common-name,low,1
Actaea,Narcissus 'Actaea',pheasant's eye,alt-common-name,low,1
Star of Persia,Allium cristophii,allium christophii,misspelling,low,1
Cornel,Dahlia 'Cornel',ball dahlia,alt-common-name,low,1
Jowey Winnie,Dahlia 'Jowey Winnie',ball dahlia,alt-common-name,low,1
Sylvia,Dahlia 'Sylvia',ball dahlia,alt-common-name,low,1
Mr. Fokker,Anemone coronaria 'Mr. Fokker',de caen anemone,alt-common-name,low,1
Hollandia,Anemone coronaria 'Hollandia',de caen anemone,alt-common-name,low,1
The Bride,Anemone coronaria 'The Bride',de caen anemone,alt-common-name,low,1
Sylphide,Anemone coronaria 'Sylphide',de caen anemone,alt-common-name,low,1
Summer Snowflake,Leucojum aestivum,loddon lily,alt-common-name,low,1
Gravetye Giant,Leucojum aestivum 'Gravetye Giant',loddon lily,alt-common-name,low,1
Chincherinchee,Ornithogalum thyrsoides,chinkerinchee,misspelling,low,1
Orange Star,Ornithogalum dubium,sun star,cultivar-trade,low,1
Pink Sapphire,Coreopsis 'Pink Sapphire',lil bang coreopsis,brand-series,low,1
Grand Marshall,Monarda 'Grand Marshall',sugar buzz bee balm,brand-series,low,1
Cinnamon Snow,Helleborus 'Cinnamon Snow',gold collection hellebore,brand-series,low,1
Wood's Blue,Symphyotrichum dumosum 'Wood's Blue',woods blue,plural-format,low,1
Wood's Purple,Symphyotrichum dumosum 'Wood's Purple',woods purple,plural-format,low,1
Purple Emperor,Hylotelephium 'Purple Emperor',sedum purple emperor,botanical-genus,low,1
Thunderhead,Hylotelephium 'Thunderhead',sedum thunderhead,botanical-genus,low,1
Cherries Jubilee,Baptisia 'Cherries Jubilee',decadence baptisia,brand-series,low,1
Dutch Chocolate,Baptisia 'Dutch Chocolate',decadence baptisia,brand-series,low,1
Purple Candles,Astilbe chinensis 'Purpurlanze',chinese astilbe,alt-common-name,low,1
Trillium,Trillium,wake robin,alt-common-name,low,1
Sneezeweed,Helenium,helens flower,alt-common-name,low,1
Spiderwort,Tradescantia,widows tears,alt-common-name,low,1
Dwarf White Pine,Pinus strobus 'Nana',dwarf eastern white pine,cultivar-trade,low,1
Jeddeloh Hemlock,Tsuga canadensis 'Jeddeloh',jedeloh hemlock,misspelling,low,1
Weeping Norway Spruce,Picea abies 'Pendula',weeping blue spruce,alt-common-name,low,1
Orange Dream,Acer palmatum 'Orange Dream',orange dream japanese maple,cultivar-trade,low,1
Osakazuki,Acer palmatum 'Osakazuki',osakazuki maple,cultivar-trade,low,1
Stellar Pink,Cornus × rutgersensis 'Stellar Pink',stellar pink dogwood,cultivar-trade,low,1
Cornelian Cherry,Cornus mas,cornelian cherry dogwood,alt-common-name,low,1
Autumn Flowering Cherry,Prunus subhirtella 'Autumnalis',higan cherry,alt-common-name,low,1
Gracillimus,Miscanthus sinensis 'Gracillimus',miscanthis,misspelling,low,1
Flame Grass,Miscanthus sinensis var. purpurascens,miscanthis,misspelling,low,1
Moudry (Black Fountain Grass),Pennisetum alopecuroides 'Moudry',cenchrus,botanical-genus,low,1
Overdam,Calamagrostis × acutiflora 'Overdam',calamgrostis,misspelling,low,1
Eldorado,Calamagrostis × acutiflora 'Eldorado',calamgrostis,misspelling,low,1
Gold Band Pampas,Cortaderia selloana 'Aureolineata',gold pampas grass,plural-format,low,1
Cinnamon Fern,Osmundastrum cinnamomeum,cinamon fern,misspelling,low,1
Royal Fern,Osmunda regalis,flowering fern,alt-common-name,low,1
Japanese Painted Fern,Athyrium niponicum,pictum fern,cultivar-trade,low,1
Cherry Dazzle,Lagerstroemia 'Cherry Dazzle',razzle dazzle,brand-series,low,1
Radicans,Gardenia jasminoides 'Radicans',dwarf gardenia,cultivar-trade,low,1
White Variegated Privet,Ligustrum sinense 'Variegatum',chinese privet,alt-common-name,low,1
Kong Rose,Coleus 'Kong Rose',kong coleus,brand-series,low,1
Wizard Velvet Red,Coleus 'Wizard Velvet Red',wizard coleus,brand-series,low,1
Brunner 'Silver Heart',Brunnera macrophylla 'Silver Heart',brunnera silver heart,cultivar-trade,low,1
Ironweed,Vernonia,iron weed,plural-format,low,1
Ville de Lyon,Clematis 'Ville de Lyon',clematis ville de lyon,cultivar-trade,low,1
Japanese Forest Grass,Hakonechloa macra,hakone grass,alt-common-name,low,1
Turtlehead,Chelone,turtle head,plural-format,low,1
Fiesta,Hibiscus rosa-sinensis 'Fiesta',fiesta,cultivar-trade,low,1
Dutch Woodbine,Lonicera periclymenum 'Belgica',woodbine,alt-common-name,low,1
